gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
848,201708260MAD,1,2017,08/26/2017,16,1,SF,Flamethrowers,23,1654.3816516158727,1674.5317915691046,MAD,Radicals,19,1728.3997524415845,1708.2496124883526,N,W,0.3950621959460303
849,201708260DAL,0,2017,08/26/2017,17,1,DAL,Roughnecks,21,1738.2149488768828,1722.3063606954222,TOR,Rush,24,1694.6199559275863,1710.5285441090468,N,L,0.5624110409956541
849,201708260DAL,1,2017,08/26/2017,16,1,TOR,Rush,24,1694.6199559275863,1710.5285441090468,DAL,Roughnecks,21,1738.2149488768828,1722.3063606954222,N,W,0.4375889590043459
850,201708270TOR,0,2017,08/27/2017,17,1,TOR,Rush,29,1710.5285441090468,1702.7542782924684,SF,Flamethrowers,30,1674.5317915691046,1682.306057385683,N,L,0.5516189236548218
850,201708270TOR,1,2017,08/27/2017,17,1,SF,Flamethrowers,30,1674.5317915691046,1682.306057385683,TOR,Rush,29,1710.5285441090468,1702.7542782924684,N,W,0.4483810763451782
851,201803310DET,0,2018,03/31/2018,1,0,DET,Mechanix,12,1354.7849515835264,1336.4025016902542,IND,Alleycats,24,1508.9851288882498,1527.367578781522,H,L,0.37303137710548634
851,201803310DET,1,2018,03/31/2018,1,0,IND,Alleycats,24,1508.9851288882498,1527.367578781522,DET,Mechanix,12,1354.7849515835264,1336.4025016902542,A,W,0.6269686228945137
852,201803310RAL,0,2018,03/31/2018,1,0,RAL,Flyers,27,1602.9652355942137,1613.9186021250382,TB,Cannons,22,1538.7829549370952,1527.8295884062707,H,W,0.6765313355572661
852,201803310RAL,1,2018,03/31/2018,1,0,TB,Cannons,22,1538.7829549370952,1527.8295884062707,RAL,Flyers,27,1602.9652355942137,1613.9186021250382,A,L,0.3234686644427339
853,201804070SEA,0,2018,04/07/2018,1,0,SEA,Cascades,29,1531.5118057467862,1537.762578893388,MIN,Windchill,28,1565.5810297863682,1559.3302566397663,H,W,0.5429676080058325
